algorithm,timestamp,python_version,numpy_version,scikit_learn_version,seed,grid_size,k_predict,dataset,s_norm,real_error,baseline_mean,baseline_std,baseline_median,baseline_ci_lower,baseline_ci_upper,ratio,gated,runtime_ms
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,15,5_pink_noise,0.7945459691377886,0.32370534853305744,0.2995899733711852,0.019165690520336058,0.3030425718618061,0.262397249825367,0.3310287556618286,1.08049460030491,0,207.64250000138418
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,15,6_white_noise,2.1987583201528165,1.1296455835377144,1.0265133374126083,0.06248437415143225,1.0248018331327486,0.9169665993922617,1.146600640838129,1.1004684911206877,0,213.23259999917354
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,1_ideal_coherent,0.8715446568789308,0.4377980558012792,0.520820483288964,0.026227095645977666,0.5182864748560256,0.467690292166311,0.5742888277632302,0.8405930063207173,0,229.10829999818816
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,2_phase_noise_0.8,2.4741432688372815,1.4660926342405385,1.245429995098721,0.07126096220712959,1.2416749699403256,1.121005784327656,1.3658527468841073,1.1771778743166743,0,209.31669999845326
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,3_thermal_source,2.4798068844599888,1.3766429858334939,1.2733121512318557,0.06068907434311684,1.277876608405693,1.1442636483169848,1.3873842843217146,1.081151220069385,0,202.9359000007389
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.35539999953471124
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,5_pink_noise,0.7945459691377886,0.31425401791317326,0.3015685170583535,0.016592721683911658,0.3029136761064086,0.26908381073374693,0.330861903818218,1.04206507024858,0,196.58849999905215
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,119,20,20,6_white_noise,2.1987583201528165,1.1251659010255497,1.0257699042978166,0.055913724866821016,1.022392079450746,0.9212640178516903,1.1242814962281025,1.09689892081185,0,205.76550000259886
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,1_ideal_coherent,0.8715446568789308,0.3264961423712438,0.5152026242335345,0.031523180458664146,0.5134551387696005,0.4612969968232572,0.5767779437691681,0.6337237564676058,0,214.92810000199825
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,2_phase_noise_0.8,2.4320411098854033,1.3784562131653821,1.2282807207898663,0.0714981972021092,1.2295214185848802,1.0860540225999409,1.3587005267391075,1.122264796502662,0,189.74159999925178
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,3_thermal_source,2.43350788198178,1.405710090599883,1.1972926126565717,0.061379038553774024,1.2010915640913007,1.0628048331250495,1.2980753645922953,1.1740739696713498,0,210.84759999939706
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.5585000035353005
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,5_pink_noise,0.9980399351343663,0.40600835621409315,0.3810922853225061,0.024790140249068057,0.38088031012155754,0.34225320525055225,0.4351134515114783,1.0653806751047226,0,201.0069999996631
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,10,6_white_noise,2.1176687766756475,1.1051325942733345,0.9570351354605883,0.06128197905792965,0.9511018874201405,0.8478792114932133,1.082313037358131,1.1547461042184957,0,204.19609999953536
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,1_ideal_coherent,0.8715446568789308,0.3763793372359239,0.5116375332809338,0.028570932081046555,0.5124268574687868,0.4557754170524868,0.5711283871683165,0.7356366817390207,0,210.0391000021773
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,2_phase_noise_0.8,2.4320411098854033,1.3230656628008335,1.2334715441831665,0.06860689265319492,1.242117444396341,1.0998344778382805,1.3626695673110631,1.0726357401921245,0,196.84150000102818
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,120,20,15,3_thermal_source,2.43350788198178,1.379274462341503,1.2048396332548095,0.05675234907805645,1.2023954763037992,1.0982242885788909,1.315337898700463,1.1447784620227566,0,204.67289999942295
